INCIDENT_I,CUSTOMER_C,TIME_OUTAG,TIME_RESTO,CREW_STATU,Longitude,Latitude
22235.0,2.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-92.8549428424,45.2244537564
22236.0,0.0,,2016-07-18 00:00:00,Known Outage,-92.9945776852,45.199578748
22237.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.3319339837,45.4443972407
22238.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.048403499,45.2692478551
22239.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2556740412,45.21086344
22240.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-92.8603294621,45.2295506264
22241.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.3364928369,45.4399876371
22242.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2520494343,45.4094719143
22243.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.090268242,45.3769454988
22244.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.9138296749,45.5236037526
22245.0,0.0,,2016-07-18 00:00:00,Known Outage,-92.8207380984,45.2325803824
22246.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.032855774,45.1379836117
22247.0,2.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.4759359915,45.3995425534
22248.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.3164135502,45.3561570211
22249.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.5306153748,45.2689109336
22250.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2556816014,45.1762552045
22252.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.3183134214,45.1694976659
22253.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.6276640635,45.502610032
22254.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.0552730504,45.1186563259
22255.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2732843694,45.1572137492
22256.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2653110307,45.4530432177
22257.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2599601895,45.4170063285
22258.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2614567064,45.4172185998
22259.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.5324666938,45.268643064
22260.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.2058702148,45.3808630067
22261.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.2658043163,45.1537235315
22262.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2262987851,45.1955820907
22263.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.4051302203,45.235807244
22264.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.1616463091,45.2913783975
22265.0,0.0,,2016-07-18 00:00:00,Known Outage,-94.0151773498,45.4625100895
22266.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2606815549,45.1438230112
22267.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.1651649805,45.3595242696
22268.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.2428811117,45.1707674761
22269.0,8.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.2448295216,45.1711203972
22270.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.24230344,45.1700378061
22271.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.818134574,45.4291980974
22273.0,6.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.9655113693,45.5301798011
22274.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.4774911965,45.2488367864
